The Shawshank Redemption,1994," Tim Robbins, Morgan Freeman",Frank Darabont ,https://www.imdb.com/title/tt0111161/
The Godfather,1972," Marlon Brando, Al Pacino",Francis Ford Coppola ,https://www.imdb.com/title/tt0068646/
The Dark Knight,2008," Christian Bale, Heath Ledger",Christopher Nolan ,https://www.imdb.com/title/tt0468569/
The Godfather Part II,1974," Al Pacino, Robert De Niro",Francis Ford Coppola ,https://www.imdb.com/title/tt0071562/
12 Angry Men,1957," Henry Fonda, Lee J. Cobb",Sidney Lumet ,https://www.imdb.com/title/tt0050083/
Schindler's List,1993," Liam Neeson, Ralph Fiennes",Steven Spielberg ,https://www.imdb.com/title/tt0108052/
The Lord of the Rings: The Return of the King,2003," Elijah Wood, Viggo Mortensen",Peter Jackson ,https://www.imdb.com/title/tt0167260/
Pulp Fiction,1994," John Travolta, Uma Thurman",Quentin Tarantino ,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,2001," Elijah Wood, Ian McKellen",Peter Jackson ,https://www.imdb.com/title/tt0120737/
"Il buono, il brutto, il cattivo",1966," Clint Eastwood, Eli Wallach",Sergio Leone ,https://www.imdb.com/title/tt0060196/
Forrest Gump,1994," Tom Hanks, Robin Wright",Robert Zemeckis ,https://www.imdb.com/title/tt0109830/
Fight Club,1999," Brad Pitt, Edward Norton",David Fincher ,https://www.imdb.com/title/tt0137523/
Inception,2010," Leonardo DiCaprio, Joseph Gordon-Levitt",Christopher Nolan ,https://www.imdb.com/title/tt1375666/
The Lord of the Rings: The Two Towers,2002," Elijah Wood, Ian McKellen",Peter Jackson ,https://www.imdb.com/title/tt0167261/
The Empire Strikes Back,1980," Mark Hamill, Harrison Ford",Irvin Kershner ,https://www.imdb.com/title/tt0080684/
The Matrix,1999," Keanu Reeves, Laurence Fishburne",Lana Wachowski ,https://www.imdb.com/title/tt0133093/
Goodfellas,1990," Robert De Niro, Ray Liotta",Martin Scorsese ,https://www.imdb.com/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975," Jack Nicholson, Louise Fletcher",Milos Forman ,https://www.imdb.com/title/tt0073486/
Se7en,1995," Morgan Freeman, Brad Pitt",David Fincher ,https://www.imdb.com/title/tt0114369/
Shichinin no samurai,1954," Toshirô Mifune, Takashi Shimura",Akira Kurosawa ,https://www.imdb.com/title/tt0047478/
It's a Wonderful Life,1946," James Stewart, Donna Reed",Frank Capra ,https://www.imdb.com/title/tt0038650/
The Silence of the Lambs,1991," Jodie Foster, Anthony Hopkins",Jonathan Demme ,https://www.imdb.com/title/tt0102926/
Cidade de Deus,2002," Alexandre Rodrigues, Leandro Firmino",Fernando Meirelles ,https://www.imdb.com/title/tt0317248/
Saving Private Ryan,1998," Tom Hanks, Matt Damon",Steven Spielberg ,https://www.imdb.com/title/tt0120815/
La vita è bella,1997," Roberto Benigni, Nicoletta Braschi",Roberto Benigni ,https://www.imdb.com/title/tt0118799/
The Green Mile,1999," Tom Hanks, Michael Clarke Duncan",Frank Darabont ,https://www.imdb.com/title/tt0120689/
Interstellar,2014," Matthew McConaughey, Anne Hathaway",Christopher Nolan ,https://www.imdb.com/title/tt0816692/
Star Wars,1977," Mark Hamill, Harrison Ford",George Lucas ,https://www.imdb.com/title/tt0076759/
Terminator 2: Judgment Day,1991," Arnold Schwarzenegger, Linda Hamilton",James Cameron ,https://www.imdb.com/title/tt0103064/
Back to the Future,1985," Michael J. Fox, Christopher Lloyd",Robert Zemeckis ,https://www.imdb.com/title/tt0088763/
